,主_数值攻击力,主_百分比攻击力,主_元素伤害,主_暴击率,主_暴击伤害,副_数值攻击力,副_百分比攻击力,副_暴击率,副_暴击伤害,主_百分比攻击力_次数,主_元素伤害_次数,主_暴击率_次数,主_暴击伤害_次数,副_数值攻击力_次数,副_百分比攻击力_次数,副_暴击率_次数,副_暴击伤害_次数,总_数值攻击力,总_百分比攻击力,总_元素伤害,总_暴击率,总_暴击伤害,总_额外增伤,期望伤害,总攻击力倍数,暴击率推导的总攻击力倍数
14757,311,0.466,0.466,0.0,0.622,68.0,0.25,0.66,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,5.0,20.0,13.0,379.0,0.716,0.466,0.9860000000000001,1.98,0.886,9008.75686543616,2.240930747922438,2.26951107505071
11602,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.33,1.452,1.0,1.0,1.0,0.0,4.0,6.0,10.0,22.0,379.0,0.766,0.466,0.9670000000000001,1.952,0.886,9007.93977443405,2.2909307479224377,2.2557758841778695
11582,311,0.466,0.466,0.311,0.0,68.0,0.25,0.363,1.452,1.0,1.0,1.0,0.0,4.0,5.0,11.0,22.0,379.0,0.716,0.466,1.0,1.952,0.886,9007.902457344,2.240930747922438,2.2800000000000002
14779,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.66,0.792,1.0,1.0,0.0,1.0,4.0,6.0,20.0,12.0,379.0,0.766,0.466,0.9860000000000001,1.9140000000000001,0.886,9006.75434844669,2.2909307479224377,2.26951107505071
11581,311,0.466,0.466,0.311,0.0,68.0,0.25,0.33,1.518,1.0,1.0,1.0,0.0,4.0,5.0,10.0,23.0,379.0,0.716,0.466,0.9670000000000001,2.018,0.886,9006.089891605632,2.240930747922438,2.2557758841778695
14778,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.627,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,6.0,19.0,13.0,379.0,0.766,0.466,0.9530000000000001,1.98,0.886,9005.93078933968,2.2909307479224377,2.2460416369359915
11561,311,0.466,0.466,0.311,0.0,68.0,0.2,0.363,1.518,1.0,1.0,1.0,0.0,4.0,4.0,11.0,23.0,379.0,0.666,0.466,1.0,2.018,0.886,9003.819327696,2.1909307479224376,2.2800000000000002
11603,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.363,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,6.0,11.0,21.0,379.0,0.766,0.466,1.0,1.8860000000000001,0.886,9002.998419792,2.2909307479224377,2.2800000000000002
14800,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.627,0.792,1.0,1.0,0.0,1.0,4.0,7.0,19.0,12.0,379.0,0.8160000000000001,0.466,0.9530000000000001,1.9140000000000001,0.886,9001.991602048227,2.340930747922438,2.2460416369359915
14735,311,0.466,0.466,0.0,0.622,68.0,0.2,0.66,0.924,1.0,1.0,0.0,1.0,4.0,4.0,20.0,14.0,379.0,0.666,0.466,0.9860000000000001,2.0460000000000003,0.886,9001.898035566433,2.1909307479224376,2.26951107505071
