,主_数值攻击力,主_百分比攻击力,主_元素伤害,主_暴击率,主_暴击伤害,副_数值攻击力,副_百分比攻击力,副_暴击率,副_暴击伤害,主_百分比攻击力_次数,主_元素伤害_次数,主_暴击率_次数,主_暴击伤害_次数,副_数值攻击力_次数,副_百分比攻击力_次数,副_暴击率_次数,副_暴击伤害_次数,总_数值攻击力,总_百分比攻击力,总_元素伤害,总_暴击率,总_暴击伤害,总_额外增伤,期望伤害,总攻击力倍数,暴击率推导的总攻击力倍数
14822,311,0.466,0.466,0.0,0.622,68.0,0.4,0.627,0.726,1.0,1.0,0.0,1.0,4.0,8.0,19.0,11.0,379.0,0.8660000000000001,0.466,0.988,2.008,0.886,10743.84569724928,2.32819512195122,2.270990769230769
14800,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.627,0.792,1.0,1.0,0.0,1.0,4.0,7.0,19.0,12.0,379.0,0.8160000000000001,0.466,0.988,2.0740000000000003,0.886,10742.858008403842,2.2781951219512195,2.270990769230769
11643,311,0.466,0.466,0.311,0.0,68.0,0.4,0.29700000000000004,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,8.0,9.0,21.0,379.0,0.8660000000000001,0.466,0.9690000000000001,2.0460000000000003,0.886,10739.056898823683,2.32819512195122,2.257193725490196
14844,311,0.466,0.466,0.0,0.622,68.0,0.45,0.627,0.66,1.0,1.0,0.0,1.0,4.0,9.0,19.0,10.0,379.0,0.916,0.466,0.988,1.942,0.886,10734.74883847872,2.378195121951219,2.270990769230769
11664,311,0.466,0.466,0.311,0.0,68.0,0.45,0.29700000000000004,1.32,1.0,1.0,1.0,0.0,4.0,9.0,9.0,20.0,379.0,0.916,0.466,0.9690000000000001,1.98,0.886,10734.4693160784,2.378195121951219,2.257193725490196
11622,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.29700000000000004,1.452,1.0,1.0,1.0,0.0,4.0,7.0,9.0,22.0,379.0,0.8160000000000001,0.466,0.9690000000000001,2.112,0.886,10733.753867560963,2.2781951219512195,2.257193725490196
14821,311,0.466,0.466,0.0,0.622,68.0,0.4,0.5940000000000001,0.792,1.0,1.0,0.0,1.0,4.0,8.0,18.0,12.0,379.0,0.8660000000000001,0.466,0.9550000000000001,2.0740000000000003,0.886,10732.201355814403,2.32819512195122,2.2474115183246073
11623,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.33,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,7.0,10.0,21.0,379.0,0.8160000000000001,0.466,1.002,2.0460000000000003,0.886,10731.893578720003,2.2781951219512195,2.2815230339321357
14778,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.627,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,6.0,19.0,13.0,379.0,0.766,0.466,0.988,2.14,0.886,10731.785771942403,2.2281951219512197,2.270990769230769
14843,311,0.466,0.466,0.0,0.622,68.0,0.45,0.5940000000000001,0.726,1.0,1.0,0.0,1.0,4.0,9.0,18.0,11.0,379.0,0.916,0.466,0.9550000000000001,2.008,0.886,10730.864948284801,2.378195121951219,2.2474115183246073
11644,311,0.466,0.466,0.311,0.0,68.0,0.4,0.33,1.32,1.0,1.0,1.0,0.0,4.0,8.0,10.0,20.0,379.0,0.8660000000000001,0.466,1.002,1.98,0.886,10729.788953600002,2.32819512195122,2.2815230339321357
11602,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.33,1.452,1.0,1.0,1.0,0.0,4.0,6.0,10.0,22.0,379.0,0.766,0.466,1.002,2.112,0.886,10723.791171840001,2.2281951219512197,2.2815230339321357
14799,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.5940000000000001,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,7.0,18.0,13.0,379.0,0.8160000000000001,0.466,0.9550000000000001,2.14,0.886,10723.790047784003,2.2781951219512195,2.2474115183246073
11663,311,0.466,0.466,0.311,0.0,68.0,0.45,0.264,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,9.0,8.0,21.0,379.0,0.916,0.466,0.9359999999999999,2.0460000000000003,0.886,10721.36118667392,2.378195121951219,2.2346858119658117
11685,311,0.466,0.466,0.311,0.0,68.0,0.5,0.29700000000000004,1.254,1.0,1.0,1.0,0.0,4.0,10.0,9.0,19.0,379.0,0.966,0.466,0.9690000000000001,1.914,0.886,10719.99111932512,2.4281951219512194,2.257193725490196
14864,311,0.466,0.466,0.0,0.622,68.0,0.5,0.5940000000000001,0.66,1.0,1.0,0.0,1.0,4.0,10.0,18.0,10.0,379.0,0.966,0.466,0.9550000000000001,1.942,0.886,10719.780825195201,2.4281951219512194,2.2474115183246073
11601,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.29700000000000004,1.518,1.0,1.0,1.0,0.0,4.0,6.0,9.0,23.0,379.0,0.766,0.466,0.9690000000000001,2.178,0.886,10718.560222290242,2.2281951219512197,2.257193725490196
