,主_数值攻击力,主_百分比攻击力,主_元素伤害,主_暴击率,主_暴击伤害,副_数值攻击力,副_百分比攻击力,副_暴击率,副_暴击伤害,主_百分比攻击力_次数,主_元素伤害_次数,主_暴击率_次数,主_暴击伤害_次数,副_数值攻击力_次数,副_百分比攻击力_次数,副_暴击率_次数,副_暴击伤害_次数,总_数值攻击力,总_百分比攻击力,总_元素伤害,总_暴击率,总_暴击伤害,期望伤害
11563,311,0.466,0.466,0.311,0.0,68.0,0.2,0.42900000000000005,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,4.0,13.0,21.0,379.0,1.162,0.466,0.937,1.8860000000000001,9808.12428223399
14738,311,0.466,0.466,0.0,0.622,68.0,0.2,0.759,0.726,1.0,1.0,0.0,1.0,4.0,4.0,23.0,11.0,379.0,1.162,0.466,0.956,1.8479999999999999,9806.373326425726
14737,311,0.466,0.466,0.0,0.622,68.0,0.2,0.726,0.792,1.0,1.0,0.0,1.0,4.0,4.0,22.0,12.0,379.0,1.162,0.466,0.923,1.9140000000000001,9806.13939305863
11564,311,0.466,0.466,0.311,0.0,68.0,0.2,0.462,1.32,1.0,1.0,1.0,0.0,4.0,4.0,14.0,20.0,379.0,1.162,0.466,0.97,1.82,9801.808081322399
11562,311,0.466,0.466,0.311,0.0,68.0,0.2,0.396,1.452,1.0,1.0,1.0,0.0,4.0,4.0,12.0,22.0,379.0,1.162,0.466,0.9040000000000001,1.952,9799.000880917247
14739,311,0.466,0.466,0.0,0.622,68.0,0.2,0.792,0.66,1.0,1.0,0.0,1.0,4.0,4.0,24.0,10.0,379.0,1.162,0.466,0.9890000000000001,1.782,9791.167657564487
14736,311,0.466,0.466,0.0,0.622,68.0,0.2,0.6930000000000001,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,4.0,21.0,13.0,379.0,1.162,0.466,0.8900000000000001,1.98,9790.465857463198
14759,311,0.466,0.466,0.0,0.622,68.0,0.25,0.726,0.726,1.0,1.0,0.0,1.0,4.0,5.0,22.0,11.0,379.0,1.212,0.466,0.923,1.8479999999999999,9777.242296546623
11584,311,0.466,0.466,0.311,0.0,68.0,0.25,0.42900000000000005,1.32,1.0,1.0,1.0,0.0,4.0,5.0,13.0,20.0,379.0,1.212,0.466,0.937,1.82,9775.92695821104
11583,311,0.466,0.466,0.311,0.0,68.0,0.25,0.396,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,5.0,12.0,21.0,379.0,1.212,0.466,0.9040000000000001,1.8860000000000001,9774.495985736063
