,主_数值攻击力,主_百分比攻击力,主_元素伤害,主_暴击率,主_暴击伤害,副_数值攻击力,副_百分比攻击力,副_暴击率,副_暴击伤害,主_百分比攻击力_次数,主_元素伤害_次数,主_暴击率_次数,主_暴击伤害_次数,副_数值攻击力_次数,副_百分比攻击力_次数,副_暴击率_次数,副_暴击伤害_次数,总_数值攻击力,总_百分比攻击力,总_元素伤害,总_暴击率,总_暴击伤害,期望伤害
11640,311,0.466,0.466,0.311,0.0,68.0,0.4,0.198,1.584,1.0,1.0,1.0,0.0,4.0,8.0,6.0,24.0,379.0,0.8660000000000001,0.466,0.982,2.084,8734.76493922416
11661,311,0.466,0.466,0.311,0.0,68.0,0.45,0.198,1.518,1.0,1.0,1.0,0.0,4.0,9.0,6.0,23.0,379.0,0.916,0.466,0.982,2.018,8733.61918070832
14819,311,0.466,0.466,0.0,0.622,68.0,0.4,0.528,0.924,1.0,1.0,0.0,1.0,4.0,8.0,16.0,14.0,379.0,0.8660000000000001,0.466,1.0010000000000001,2.0460000000000003,8733.365765720002
14840,311,0.466,0.466,0.0,0.622,68.0,0.45,0.495,0.924,1.0,1.0,0.0,1.0,4.0,9.0,15.0,14.0,379.0,0.916,0.466,0.968,2.0460000000000003,8730.25657698496
14797,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.528,0.99,1.0,1.0,0.0,1.0,4.0,7.0,16.0,15.0,379.0,0.8160000000000001,0.466,1.0010000000000001,2.112,8729.84563584
14818,311,0.466,0.466,0.0,0.622,68.0,0.4,0.495,0.99,1.0,1.0,0.0,1.0,4.0,8.0,15.0,15.0,379.0,0.8660000000000001,0.466,0.968,2.112,8728.82418614912
14841,311,0.466,0.466,0.0,0.622,68.0,0.45,0.528,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,9.0,16.0,13.0,379.0,0.916,0.466,1.0010000000000001,1.98,8728.710013599999
11619,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.198,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,7.0,6.0,25.0,379.0,0.8160000000000001,0.466,0.982,2.1500000000000004,8727.881981616001
11682,311,0.466,0.466,0.311,0.0,68.0,0.5,0.198,1.452,1.0,1.0,1.0,0.0,4.0,10.0,6.0,22.0,379.0,0.966,0.466,0.982,1.952,8724.44470606848
14861,311,0.466,0.466,0.0,0.622,68.0,0.5,0.495,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,10.0,15.0,13.0,379.0,0.966,0.466,0.968,1.98,8723.774714044801
11660,311,0.466,0.466,0.311,0.0,68.0,0.45,0.165,1.584,1.0,1.0,1.0,0.0,4.0,9.0,5.0,24.0,379.0,0.916,0.466,0.9490000000000001,2.084,8722.01995532112
14796,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.495,1.056,1.0,1.0,0.0,1.0,4.0,7.0,15.0,16.0,379.0,0.8160000000000001,0.466,0.968,2.178,8719.477541537279
11681,311,0.466,0.466,0.311,0.0,68.0,0.5,0.165,1.518,1.0,1.0,1.0,0.0,4.0,10.0,5.0,23.0,379.0,0.966,0.466,0.9490000000000001,2.018,8719.11468023724
14775,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.528,1.056,1.0,1.0,0.0,1.0,4.0,6.0,16.0,16.0,379.0,0.766,0.466,1.0010000000000001,2.178,8718.149623959998
11639,311,0.466,0.466,0.311,0.0,68.0,0.4,0.165,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,8.0,5.0,25.0,379.0,0.8660000000000001,0.466,0.9490000000000001,2.1500000000000004,8717.166318387002
14862,311,0.466,0.466,0.0,0.622,68.0,0.5,0.528,0.792,1.0,1.0,0.0,1.0,4.0,10.0,16.0,12.0,379.0,0.966,0.466,1.0010000000000001,1.9140000000000001,8715.87837948
14839,311,0.466,0.466,0.0,0.622,68.0,0.45,0.462,0.99,1.0,1.0,0.0,1.0,4.0,9.0,14.0,15.0,379.0,0.916,0.466,0.935,2.112,8713.2443797504
11598,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.198,1.7160000000000002,1.0,1.0,1.0,0.0,4.0,6.0,6.0,26.0,379.0,0.766,0.466,0.982,2.216,8712.97030788384
14860,311,0.466,0.466,0.0,0.622,68.0,0.5,0.462,0.924,1.0,1.0,0.0,1.0,4.0,10.0,14.0,14.0,379.0,0.966,0.466,0.935,2.0460000000000003,8712.9172540182
14881,311,0.466,0.466,0.0,0.622,68.0,0.55,0.495,0.792,1.0,1.0,0.0,1.0,4.0,11.0,15.0,12.0,379.0,1.016,0.466,0.968,1.9140000000000001,8709.37859732864
11701,311,0.466,0.466,0.311,0.0,68.0,0.55,0.165,1.452,1.0,1.0,1.0,0.0,4.0,11.0,5.0,22.0,379.0,1.016,0.466,0.9490000000000001,1.952,8708.450493135359
11702,311,0.466,0.466,0.311,0.0,68.0,0.55,0.198,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,11.0,6.0,21.0,379.0,1.016,0.466,0.982,1.8860000000000001,8707.24151530464
14817,311,0.466,0.466,0.0,0.622,68.0,0.4,0.462,1.056,1.0,1.0,0.0,1.0,4.0,8.0,14.0,16.0,379.0,0.8660000000000001,0.466,0.935,2.178,8705.9270558126
14880,311,0.466,0.466,0.0,0.622,68.0,0.55,0.462,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,11.0,14.0,13.0,379.0,1.016,0.466,0.935,1.98,8704.945678616
11618,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.165,1.7160000000000002,1.0,1.0,1.0,0.0,4.0,7.0,5.0,26.0,379.0,0.8160000000000001,0.466,0.9490000000000001,2.216,8704.55376943488
14774,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.495,1.122,1.0,1.0,0.0,1.0,4.0,6.0,15.0,17.0,379.0,0.766,0.466,0.968,2.244,8702.21664314944
11680,311,0.466,0.466,0.311,0.0,68.0,0.5,0.132,1.584,1.0,1.0,1.0,0.0,4.0,10.0,4.0,24.0,379.0,0.966,0.466,0.916,2.084,8700.75570237408
14753,311,0.466,0.466,0.0,0.622,68.0,0.25,0.528,1.122,1.0,1.0,0.0,1.0,4.0,5.0,16.0,17.0,379.0,0.716,0.466,1.0010000000000001,2.244,8698.27773008
11659,311,0.466,0.466,0.311,0.0,68.0,0.45,0.132,1.6500000000000001,1.0,1.0,1.0,0.0,4.0,9.0,4.0,25.0,379.0,0.916,0.466,0.916,2.1500000000000004,8697.661582008
11700,311,0.466,0.466,0.311,0.0,68.0,0.55,0.132,1.518,1.0,1.0,1.0,0.0,4.0,11.0,4.0,23.0,379.0,1.016,0.466,0.916,2.018,8696.360714828159
14882,311,0.466,0.466,0.0,0.622,68.0,0.55,0.528,0.726,1.0,1.0,0.0,1.0,4.0,11.0,16.0,11.0,379.0,1.016,0.466,1.0010000000000001,1.8479999999999999,8694.87086336
14795,311,0.466,0.466,0.0,0.622,68.0,0.35000000000000003,0.462,1.122,1.0,1.0,0.0,1.0,4.0,7.0,14.0,17.0,379.0,0.8160000000000001,0.466,0.935,2.244,8690.965282204801
11577,311,0.466,0.466,0.311,0.0,68.0,0.25,0.198,1.782,1.0,1.0,1.0,0.0,4.0,5.0,6.0,27.0,379.0,0.716,0.466,0.982,2.282,8690.02991802768
11720,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.165,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,12.0,5.0,21.0,379.0,1.066,0.466,0.9490000000000001,1.8860000000000001,8690.027394015478
14899,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.462,0.792,1.0,1.0,0.0,1.0,4.0,12.0,14.0,12.0,379.0,1.066,0.466,0.935,1.9140000000000001,8689.329653543798
14859,311,0.466,0.466,0.0,0.622,68.0,0.5,0.42900000000000005,0.99,1.0,1.0,0.0,1.0,4.0,10.0,13.0,15.0,379.0,0.966,0.466,0.9020000000000001,2.112,8689.03084195968
14879,311,0.466,0.466,0.0,0.622,68.0,0.55,0.42900000000000005,0.924,1.0,1.0,0.0,1.0,4.0,11.0,13.0,14.0,379.0,1.016,0.466,0.9020000000000001,2.0460000000000003,8687.21400376544
11638,311,0.466,0.466,0.311,0.0,68.0,0.4,0.132,1.7160000000000002,1.0,1.0,1.0,0.0,4.0,8.0,4.0,26.0,379.0,0.8660000000000001,0.466,0.916,2.216,8687.078353729921
14900,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.495,0.726,1.0,1.0,0.0,1.0,4.0,12.0,15.0,11.0,379.0,1.066,0.466,0.968,1.8479999999999999,8687.068226836476
11719,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.132,1.452,1.0,1.0,1.0,0.0,4.0,12.0,4.0,22.0,379.0,1.066,0.466,0.916,1.952,8684.476619370238
11597,311,0.466,0.466,0.311,0.0,68.0,0.30000000000000004,0.165,1.782,1.0,1.0,1.0,0.0,4.0,6.0,5.0,27.0,379.0,0.766,0.466,0.9490000000000001,2.282,8684.18230846476
14838,311,0.466,0.466,0.0,0.622,68.0,0.45,0.42900000000000005,1.056,1.0,1.0,0.0,1.0,4.0,9.0,13.0,16.0,379.0,0.916,0.466,0.9020000000000001,2.178,8683.473034589919
11721,311,0.466,0.466,0.311,0.0,68.0,0.6000000000000001,0.198,1.32,1.0,1.0,1.0,0.0,4.0,12.0,6.0,20.0,379.0,1.066,0.466,0.982,1.82,8682.009608416796
14898,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.42900000000000005,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,12.0,13.0,13.0,379.0,1.066,0.466,0.9020000000000001,1.98,8678.022520007198
14752,311,0.466,0.466,0.0,0.622,68.0,0.25,0.495,1.1880000000000002,1.0,1.0,0.0,1.0,4.0,5.0,15.0,18.0,379.0,0.716,0.466,0.968,2.31,8677.041490985599
14816,311,0.466,0.466,0.0,0.622,68.0,0.4,0.42900000000000005,1.122,1.0,1.0,0.0,1.0,4.0,8.0,13.0,17.0,379.0,0.8660000000000001,0.466,0.9020000000000001,2.244,8670.540581656162
14731,311,0.466,0.466,0.0,0.622,68.0,0.2,0.528,1.1880000000000002,1.0,1.0,0.0,1.0,4.0,4.0,16.0,18.0,379.0,0.666,0.466,1.0010000000000001,2.31,8670.2299542
11617,311,0.466,0.466,0.311,0.0,68.0,0.35000000000000003,0.132,1.782,1.0,1.0,1.0,0.0,4.0,7.0,4.0,27.0,379.0,0.8160000000000001,0.466,0.916,2.282,8669.00601753984
14773,311,0.466,0.466,0.0,0.622,68.0,0.30000000000000004,0.462,1.1880000000000002,1.0,1.0,0.0,1.0,4.0,6.0,14.0,18.0,379.0,0.766,0.466,0.935,2.31,8668.359058926999
14917,311,0.466,0.466,0.0,0.622,68.0,0.65,0.462,0.726,1.0,1.0,0.0,1.0,4.0,13.0,14.0,11.0,379.0,1.116,0.466,0.935,1.8479999999999999,8666.0691788016
14901,311,0.466,0.466,0.0,0.622,68.0,0.6000000000000001,0.528,0.66,1.0,1.0,0.0,1.0,4.0,12.0,16.0,10.0,379.0,1.066,0.466,1.0010000000000001,1.782,8665.687465239998
11737,311,0.466,0.466,0.311,0.0,68.0,0.65,0.132,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,13.0,4.0,21.0,379.0,1.116,0.466,0.916,1.8860000000000001,8665.10341600032
