,主_数值攻击力,主_百分比攻击力,主_元素伤害,主_暴击率,主_暴击伤害,副_数值攻击力,副_百分比攻击力,副_暴击率,副_暴击伤害,主_百分比攻击力_次数,主_元素伤害_次数,主_暴击率_次数,主_暴击伤害_次数,副_数值攻击力_次数,副_百分比攻击力_次数,副_暴击率_次数,副_暴击伤害_次数,总_数值攻击力,总_百分比攻击力,总_元素伤害,总_暴击率,总_暴击伤害,期望伤害
11563,311,0.466,0.466,0.311,0.0,68.0,0.2,0.42900000000000005,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,4.0,13.0,21.0,379.0,0.9420000000000001,0.466,0.937,1.8860000000000001,8627.7657653616
14738,311,0.466,0.466,0.0,0.622,68.0,0.2,0.759,0.726,1.0,1.0,0.0,1.0,4.0,4.0,23.0,11.0,379.0,0.9420000000000001,0.466,0.956,1.8479999999999999,8626.2255282944
14737,311,0.466,0.466,0.0,0.622,68.0,0.2,0.726,0.792,1.0,1.0,0.0,1.0,4.0,4.0,22.0,12.0,379.0,0.9420000000000001,0.466,0.923,1.9140000000000001,8626.0197476336
11564,311,0.466,0.466,0.311,0.0,68.0,0.2,0.462,1.32,1.0,1.0,1.0,0.0,4.0,4.0,14.0,20.0,379.0,0.9420000000000001,0.466,0.97,1.82,8622.20968752
11562,311,0.466,0.466,0.311,0.0,68.0,0.2,0.396,1.452,1.0,1.0,1.0,0.0,4.0,4.0,12.0,22.0,379.0,0.9420000000000001,0.466,0.9040000000000001,1.952,8619.7403195904
14759,311,0.466,0.466,0.0,0.622,68.0,0.25,0.726,0.726,1.0,1.0,0.0,1.0,4.0,5.0,22.0,11.0,379.0,0.992,0.466,0.923,1.8479999999999999,8614.579490595199
11584,311,0.466,0.466,0.311,0.0,68.0,0.25,0.42900000000000005,1.32,1.0,1.0,1.0,0.0,4.0,5.0,13.0,20.0,379.0,0.992,0.466,0.937,1.82,8613.420565992
14739,311,0.466,0.466,0.0,0.622,68.0,0.2,0.792,0.66,1.0,1.0,0.0,1.0,4.0,4.0,24.0,10.0,379.0,0.9420000000000001,0.466,0.9890000000000001,1.782,8612.849785342401
14736,311,0.466,0.466,0.0,0.622,68.0,0.2,0.6930000000000001,0.8580000000000001,1.0,1.0,0.0,1.0,4.0,4.0,21.0,13.0,379.0,0.9420000000000001,0.466,0.8900000000000001,1.98,8612.23244336
11583,311,0.466,0.466,0.311,0.0,68.0,0.25,0.396,1.3860000000000001,1.0,1.0,1.0,0.0,4.0,5.0,12.0,21.0,379.0,0.992,0.466,0.9040000000000001,1.8860000000000001,8612.1597579072
14760,311,0.466,0.466,0.0,0.622,68.0,0.25,0.759,0.66,1.0,1.0,0.0,1.0,4.0,5.0,23.0,10.0,379.0,0.992,0.466,0.956,1.782,8607.8551808096
14758,311,0.466,0.466,0.0,0.622,68.0,0.25,0.6930000000000001,0.792,1.0,1.0,0.0,1.0,4.0,5.0,21.0,12.0,379.0,0.992,0.466,0.8900000000000001,1.9140000000000001,8607.434911448003
11585,311,0.466,0.466,0.311,0.0,68.0,0.25,0.462,1.254,1.0,1.0,1.0,0.0,4.0,5.0,14.0,19.0,379.0,0.992,0.466,0.97,1.754,8600.812485143999
